ID;Transliteración;Fecha de Publicación;Estado de Verificación;Categoría Gramatical;Ortografía Jeroglífica;Traducción EN;Traducción FR;Cronología;Comentario;Diccionario;Lexicons y Regular Indexes;Further References;Autor
37;ʿ-n(y)-snṯr;Published the Oct 11, 2019 at 11:36;validated;;['https://app.vega-lexique.fr/api/files/63f4548d-2950-4a1d-9055-e85c200b8e0c.svg', 'https://app.vega-lexique.fr/api/files/60624c6c-f084-4526-8ff9-ec3ce81fb317.svg'];censer;(un encensoir);[];[];[{'label': 'Wb', 'value': 'cf. I, 156, 6 (ʿ)'}, {'label': 'Hannig, ÄWb II', 'value': '467 {4523}'}];[{'label': 'TLA (Lemma n°)', 'value': '34670'}];[];
38;ʿ-ẖn / ʿẖn;Published the Mar 20, 2020 at 20:10;problematic;;['https://app.vega-lexique.fr/api/files/d68e2105-c72a-4d2b-8137-a07ec858af74.svg', 'https://app.vega-lexique.fr/api/files/3791a85d-38ee-4afe-bbd1-a074e69f2ed8.svg'];fire fan;éventail, attise-feu;[];[];[{'label': 'Wb', 'value': 'I, 226, 15 (ʿẖn)'}, {'label': 'Hannig, ÄWb I', 'value': '250 {4521} (ʿ-ẖn [ʿẖn])'}, {'label': 'Hannig, ÄWb II', 'value': '467 {4521} (ʿ-ẖn [ʿẖn])'}];"[{'label': 'Meeks, AnLex', 'value': '77.0541 (ʿ-ẖn) ; 77.0746 (ʿẖn)'}, {'label': 'Wd (s. v.)', 'value': 'ẖn'}, {'label': 'TLA (Lemma n°)', 'value': '40850 (ʿẖn) ; 850363 (ʿ-ẖnw)'}]";[];
39;ȝw.t-jb;Published the May 30, 2017 at 16:22;validated;;['https://app.vega-lexique.fr/api/files/a1466cbe-28f3-4034-93ac-988d4ac4f923.svg', 'https://app.vega-lexique.fr/api/files/e0d97255-5fa6-4f81-8cb8-b0ee38a9eb37.svg'];amulet, pectoral;amulette, pectoral;[];[];[{'label': 'Wb', 'value': 'cf. I, 4, 20 (ȝw.t)'}, {'label': 'Wilson, PL', 'value': '2'}];[{'label': 'Meeks, AnLex', 'value': '78.0012'}, {'label': 'DendIndex X', 'value': '2'}, {'label': 'DendTrad IV', 'value': '460'}, {'label': 'LGG', 'value': 'I, 7c'}, {'label': 'DendTrad V-VI', 'value': '2'}, {'label': 'Wd (s. v.)', 'value': 'ȝwt'}, {'label': 'TLA (Lemma n°)', 'value': '44'}];[];
40;ȝw.t-jb;Published the Feb 19, 2020 at 11:04;validated;;['https://app.vega-lexique.fr/api/files/7f7e72c7-4487-4144-9927-fecd6f3d46d3.svg', 'https://app.vega-lexique.fr/api/files/8fc0f851-7d36-4b3c-b3cb-d4176ff7c1f6.svg'];realgar;réalgar;[];[];[{'label': 'Wb', 'value': 'I, 5, 1'}, {'label': 'Grundriss 6', 'value': '3'}, {'label': 'Grundriss 7', 'value': '3'}, {'label': 'Wilson, PL', 'value': '2'}, {'label': 'Lesko, DLE2', 'value': 'I, 3'}];"[{'label': 'Meeks, AnLex', 'value': '77.0019 ; 79.0010'}, {'label': 'TLA (Lemma n°)', 'value': '45 ; 862843'}]";[];
41;ȝw.t / ȝw;Published the Apr 27, 2017 at 10:53;problematic;;['https://app.vega-lexique.fr/api/files/ce117ef7-91c2-49cd-b1c3-8ea530e0b6a2.svg', 'https://app.vega-lexique.fr/api/files/4de3ab43-323c-4271-83e7-c93be9d96cef.svg'];altar;autel;['18th dyn'];[];[{'label': 'Wb', 'value': 'I, 5, 13'}];[{'label': 'TLA (Lemma n°)', 'value': '40'}];;
42;ȝw.t / ȝw;Published the Mar 22, 2024 at 9:54;validated;Substantive;['https://app.vega-lexique.fr/api/files/abb0c4db-f954-4f80-b8c3-4f0b4804f554.svg', 'https://app.vega-lexique.fr/api/files/26c695de-b329-4f19-8711-2de312a74c20.svg'];"gift; offering; libation";"présent ; offrande ; libation";[];[];"[{'label': 'Wb', 'value': 'I, 5, 2 (ȝw.t) ; I, 5, 3 (ȝw)'}, {'label': 'Faulkner, CD', 'value': '1'}, {'label': 'Wilson, PL', 'value': '2-3'}, {'label': 'Lesko, DLE2', 'value': 'I, 3'}, {'label': 'van der Molen, HDECT', 'value': '2'}, {'label': 'Hannig, ÄWb I', 'value': '4 {105}'}, {'label': 'Hannig, ÄWb II', 'value': '7 {105}'}]";"[{'label': 'Meeks, AnLex', 'value': '77.0021 ; 78.0013'}, {'label': 'Borghouts, van der Plas, CTWI', 'value': '1'}, {'label': 'DendIndex X', 'value': '2'}, {'label': 'DendTrad II', 'value': '358 (ȝw.t) ; 358 (ȝw)'}, {'label': 'LGG', 'value': 'I, 7c'}, {'label': 'Wd (s. v.)', 'value': 'ȝwt'}, {'label': 'TLA (Lemma n°)', 'value': '39 ; 133900'}]";[];
43;ȝw.t-ʿ / ȝw-ʿ;Published the Apr 27, 2017 at 10:56;validated;;['https://app.vega-lexique.fr/api/files/11af04d1-0416-492c-8810-bd325936d3c3.svg', 'https://app.vega-lexique.fr/api/files/29975454-a891-43f7-9bee-4e8b93497c2a.svg'];"gift; offering";"présent ; offrande";[];[];[{'label': 'Wb', 'value': 'I, 5, 7'}, {'label': 'Faulkner, CD', 'value': '2'}, {'label': 'Wilson, PL', 'value': '3'}, {'label': 'Hannig, ÄWb II', 'value': '10 {115}'}];[{'label': 'TLA (Lemma n°)', 'value': '46'}];[];
44;ȝw.t-ḏr.t;Published the Apr 27, 2017 at 10:59;problematic;;['https://app.vega-lexique.fr/api/files/c132369a-669d-46ea-8613-740edee7d75d.svg', 'https://app.vega-lexique.fr/api/files/320957dd-6a75-4f99-93b4-3f3d4d5a6a22.svg'];gift;présent, cadeau;['12th dyn'];[];[{'label': 'Hannig, ÄWb II', 'value': '10 {49012}'}];[{'label': 'TLA (Lemma n°)', 'value': '48'}];;
45;ȝwȝw;Published the May 30, 2017 at 16:25;problematic;;['https://app.vega-lexique.fr/api/files/ab5fb2e0-a2f1-4dfc-a957-1f9c041ab792.svg'];to be very long;se montrer très long;[];[];[{'label': 'van der Molen, HDECT', 'value': '2'}];"[{'label': 'Borghouts, van der Plas, CTWI', 'value': '1-2 (ȝwȝw) ; 2 (ȝwȝw.tj)'}, {'label': 'TLA (Lemma n°)', 'value': '856494 (ȝwȝw.tj) ; 858406 (ȝwȝw) '}]";;
46;ȝw;Published the Apr 27, 2017 at 11:00;validated;;['https://app.vega-lexique.fr/api/files/2045d9be-5c0f-4208-b394-7826d17101d9.svg'];dead, deceased;défunt, mort;[];[];[{'label': 'Hannig, ÄWb I', 'value': '2 {80}'}, {'label': 'Hannig, ÄWb II', 'value': '5 {80}'}];[{'label': 'Meeks, AnLex', 'value': '79.0013'}, {'label': 'LGG', 'value': 'I, 7c'}];[];
47;ȝw;Published the Apr 27, 2017 at 11:01;problematic;;['https://app.vega-lexique.fr/api/files/8ac49f99-95f4-4517-a545-e89a23c1bccd.svg'];(meaning unknown);(sens inconnu);['17th dyn'];[];[{'label': 'Hannig, ÄWb II', 'value': '10 {121}'}];;;
48;ȝw;Published the May 13, 2020 at 11:45;validated;;['https://app.vega-lexique.fr/api/files/f13aff96-ec0d-4ca0-a757-e1b072f94264.svg'];to die;mourir;['12th dyn', '13th dyn'];[];;[{'label': 'TLA (Lemma n°)', 'value': '858947'}];[];
49;rwd;Published the Mar 13, 2018 at 11:30;validated;;['https://app.vega-lexique.fr/api/files/a620981d-7ed3-43c7-8508-7049c925b71a.svg', 'https://app.vega-lexique.fr/api/files/44d396d4-9287-46a0-9f6c-d1a7e8bfb654.svg'];stairway, raised terrace, platform;escalier, terrasse, estrade;[];[];"[{'label': 'Wb', 'value': 'II, 409, 9-15 ; II, 462 (rd)'}, {'label': 'Faulkner, CD', 'value': '148 (rwdw)'}, {'label': 'Lesko, DLE2', 'value': 'I, 269 (rwḏw)'}, {'label': 'van der Molen, HDECT', 'value': '277'}, {'label': 'Hannig, ÄWb I', 'value': '706 {17680-17681}, {17685} (rwdw)'}, {'label': 'Hannig, ÄWb II', 'value': '1463-1464 {17680}, {17682-17683}, {49028} (rwdw)'}]";"[{'label': 'Meeks, AnLex', 'value': '77.2350 ; 78.2384 ; 79.1733'}, {'label': 'Borghouts, van der Plas, CTWI', 'value': '181 (rwd ; rwd-wr)'}, {'label': 'DendIndex X', 'value': '316'}, {'label': 'LGG', 'value': 'IV, 659b'}, {'label': 'Wd (s. v.)', 'value': 'rwd ; rd'}, {'label': 'TLA (Lemma n°)', 'value': '93730 ; 852761 (rwd-wr) '}]";[];
